Lepirudin,Hirudin variant-1 | Lepirudin recombinant|Refludan 50 mg vial
(2R)-({4-[AMINO(IMINO)METHYL]PHENYL}AMINO){5-ETHOXY-2-FLUORO-3-[(3R)-TETRAHYDROFURAN-3-YLOXY]PHENYL}ACETICACID,
"N-{2,2-DIFLUORO-2-[(2R)-PIPERIDIN-2-YL]ETHYL}-2-[2-(1H-1,2,4-TRIAZOL-1-YL)BENZYL][1,3]OXAZOLO[4,5-C]PYRIDIN-4-AMINE",
3-Bromo-3-buten-1-ol,
3-({1-[3-CARBAMIMIDOYL-1-(4-CARBAMIMIDOYL-BENZYLCARBAMOYL)-PROPYLCARBAMOYL]-2-METHYL-BUTYLSULFAMOYL}-METHYL)-BENZOIC ACID,
3-hydroxyglutaric acid,
"(E)-(4S,6S)-8-METHYL-6-((S)-3-METHYL-2-{(S)-2-[(5-METHYL-ISOXAZOLE-3-CARBONYL)-AMINO]-PROPIONYLAMINO}-BUTYRYLAMINO)-5-OXO-4-((R)-2-OXO-PYRROLIDIN-3-YLMETHYL)-NON-2-ENOIC ACID BENZYL ESTER",
"4-O-{4,6-O-[(1S)-1-Carboxyethylidene]-b-D-mannopyranosyl}-D-glucopyranuronic acid",
"[4,6-O-(1-CARBOXYETHYLIDENE)-BETA-D-MANNOSE]",
2-AMINO-4-CHLORO-3-HYDROXYBENZOIC ACID,
Aniracetam,1-p-anisoylpyrrolidin-2-one | Aniracetam | Aniracetamun
"4-[(3-BROMO-4-O-SULFAMOYLBENZYL)(4-CYANOPHENYL)AMINO]-4H-[1,2,4]-TRIAZOLE",
"4-[(4-O-SULFAMOYLBENZYL)(4-CYANOPHENYL)AMINO]-4H-[1,2,4]-TRIAZOLE",
PUROMYCIN AMINONUCLEOSIDE-5'-MONOPHOSPHATE,
2'-DEOXY-5-FORMYLCYTIDINE-5'-MONOPHOSPHATE,
5-iodotubercidin,
5-Aminoisoquinoline,
2-[2-ETHANESULFONYLAMINO-3-(5-PROPOXY-1H-INDOL-3-YL)-PROPIONYLAMINO]-PENTANEDIOIC ACID 5-AMIDE 1-(4-CARBAMIMIDOYL-BENZYLAMIDE),
"PHENYLAMINOIMIDAZO(1,2-ALPHA)PYRIDINE",
"9-HYDROXY-4-PHENYL-6H-PYRROLO[3,4-C]CARBAZOLE-1,3-DIONE",
INHIBITOR Q8467 OF DUPONT MERCK,
"7,8-dihydro-6-hydroxymethyl-7-methyl-7-[2-phenylethyl]-pterin",
"N-METHYLALANYL-3-METHYLVALYL-4-PHENOXY-N-(1,2,3,4-TETRAHYDRONAPHTHALEN-1-YL)PROLINAMIDE",
"(E)-(4S,6S)-6-((S)-2-{(S)-2-[(FURAN-2-CARBONYL)-AMINO]-3-METHYL-BUTYRYLAMINO}-3-METHYL-BUTYRYLAMINO)-8-METHYL-5-OXO-4-((R)-2-OXO-PYRROLIDIN-3-YLMETHYL)-NON-2-ENOIC ACID ETHYL ESTER",
(R)-tacrine(10)-hupyridone,
(S)-tacrine(10)-hupyridone,
TACRINE(8)-4-AMINOQUINOLINE,
"(9S)-9-[(8-AMMONIOOCTYL)AMINO]-1,2,3,4,9,10-HEXAHYDROACRIDINIUM",
"4,6-DIDEOXY-4-{[4-[(4-O-HEXOPYRANOSYLHEXOPYRANOSYL)OXY]-5,6-DIHYDROXY-3-(HYDROXYMETHYL)CYCLOHEX-2-EN-1-YL]AMINO}HEXOPYRANOSYL-(1->4)HEXOPYRANOSYL-(1->4)HEXOPYRANOSE",
Acetophenone,1-phenylethanone | Acetylbenzene | Benzoyl methide | Methyl phenyl ketone | Phenyl methyl ketone
Cycloleucine,1-amino-1-cyclopentanecarboxylic acid | 1-aminocyclopentane-1-carboxylic acid | 1-aminocyclopentanecarboxylic acid | Cyclo-leucine | Cycloleucin
N-ACETYLHISTAMINE,
"2-ETHOXYETHYL (2S,3S)-4-((S)-2-BENZYL-3-OXO-4-((3AR,8R,8AS)-2-OXO-3,3A,8,8A-TETRAHYDRO-2H-INDENO[1,2-D]OXAZOL-8-YL)-2,3-DIHYDRO-1H-PYRROL-2-YL)-3-HYDROXY-1-PHENYLBUTAN-2-YLCARBAMATE",
DERIVATIVE OF AKLANONIC ACID METHYL ESTER (AAME),
Apramycin,"4-O-((8R)-2-amino-8-O-(4-amino-4-deoxy-a-D-glucopyranosyl)-2,3,7-trideoxy-7-(methylamino)-D-glycero-a-D-allo-octodialdo-1,5:8,4-dipyranos-1-yl)-2-deoxy-D-streptamine | 4-O-(3a-amino-6a-((4-amino-4-deoxy-a-D-glucopyranosyl)oxy)-2,3,4,5ab,6,7,8,8aa-octahydro-8b-hydroxy-7b-(methylamino)pyrano(3,2-b)pyran-2a-yl)-2-deoxy-D-streptamine | Apramicina | Apramycin | Apramycine | Apramycinum | Nebramycin II"
Cyclouridine,"2,2'-Anhydrouridine | 2,2'-O-Cyclouridine | O2,2'-Cyclouridine"
Allosamidin,
Aplyronine A,
Aldosterone,"(+)-aldosterone | (11b)-11,21-dihydroxy-3,20-dioxopregn-4-en-18-al | 11beta,21-Dihydroxy-3,20-dioxo-4-pregnen-18-al | 11beta,21-dihydroxy-3,20-dioxopregn-4-en-18-al | Aldosterona | Aldosterone | Aldosteronum"
Atpenin A5,"3-[(2S,4S,5R)-5,6-dichloro-2,4-dimethyl-1-oxohexyl]-4-hydroxy-5,6-dimethoxy-2(1H)-pyridinone"
4-(2-HYDROXYBENZYLAMINO)-N-(3-(4-FLUOROPHENOXY)PHENYL)PIPERIDINE-1-SULFONAMIDE,
"N-ethyl-N-[3-(propylamino)propyl]propane-1,3-diamine",
N-BENZYLOXYCARBONYL-L-SERINE-BETALACTONE,
Glutamine t-butyl ester,
6-Bromo-1-hexanol,
"2,5-DI-(TERT-BUTYL)-1,4,BENZOHYDROQUINONE",
Biphenylalanine,
"Naphthalene-2,6-disulfonic acid","2,6-naphthalenedisulfonic acid | Ebert-Merz beta-acid | naphthalene-2,6-disulphonic acid"
"3,7-DIHYDROXYNAPHTHALENE-2-CARBOXYLIC ACID",
"7-{2,6-DICHLORO-4-[3-(2-CHLORO-BENZOYL)-UREIDO]-PHENOXY}-HEPTANOIC ACID",
"4-{3-CHLORO-4-[3-(2,4-DICHLORO-BENZOYL)-UREIDO]-PHENOXY}-BUTYRIC ACID",
"4-{4-[3-(2,4-DICHLORO-BENZOYL)-UREIDO]-2,3-DIMETHYL-PHENOXY}-BUTYRIC ACID",
"5-{3-[3-(2,4-DICHLORO-BENZOYL)-UREIDO]-2-METHYL-PHENOXY}-PENTANOIC ACID",
Dibromothymoquinone,"2,5-dibromo-3-isopropyl-6-methyl-1,4-benzoquinone | 2,5-dibromo-3-isopropyl-6-methylbenzoquinone | 2,5-dibromo-3-methyl-6-(1-methylethyl)-2,5-cyclohexadiene-1,4-dione | 2,5-dibromo-3-methyl-6-(1-methylethyl)cyclohexa-2,5-diene-1,4-dione"
BOC-GAMMA-D-GLU-L-LYS(CBZ)-D-BOROALA,
S-propylamine-L-cysteine,
TETRAHEDRAL INTERMEDIATE OF BLASTICIDIN S,
"5-[(3AS,4R,6AR)-2-OXOHEXAHYDRO-1H-THIENO[3,4-D]IMIDAZOL-4-YL]PENTANOIC ACID",
BIOTINOL-5-AMP,
Corticosterone,"(11b)-11,21-dihydroxypregn-4-ene-3,20-dione | 11beta,21-Dihydroxy-4-pregnene-3,20-dione | 11b,21-dihydroxyprogesterone | 17-deoxycortisol | Kendall's compound B | Reichstein's substance H"
N-[(benzyloxy)carbonyl]-L-leucyl-N-[(1S)-3-fluoro-1-(4-hydroxybenzyl)-2-oxopropyl]-L-leucinamide,Calpain inhibitor IV | CBZ-LEU-LEU-TYR-CH2F | N-[(benzyloxy)carbonyl]leucyl-N(1)-[3-fluoro-1-(4-hydroxybenzyl)-2-oxopropyl]leucinamide
4-PIPERIDIN-4-YLBUTANAL,
Metoprine,
"1,3,4-TRIHYDROXY-5-(3-PHENOXYPROPYL)-CYCLOHEXANE-1-CARBOXYLIC A CID",
Carboxin,"2,3-Dihydro-5-carboxanilido-6-methyl-1,4-oxathiin | 2,3-Dihydro-6-methyl-1,4-oxathiin-5-carboxanilide | 2,3-Dihydro-6-methyl-5-phenylcarbamoyl-1,4-oxathiin | 5-Carboxanilido-2,3-dihydro-6-methyl-1,4-oxathiin | 5,6-Dihydro-2-methyl-1,4-oxathiin-3-carboxanilide | 5,6-Dihydro-2-methyl-3-carboxanilido-1,4-oxathiin | 5,6-Dihydro-2-methyl-N-phenyl-1,4-oxathiin-3-carboxamide | Carbathiin | Carboxine | Oxatin"
"(1S,2R,3S,4R,5S)-8-AZABICYCLO[3.2.1]OCTANE-1,2,3,4-TETROL",
"(1S,2S,3R,4S,5S)-2,3,4-TRIHYDROXY-5-(HYDROXYMETHYL)CYCLOHEXYL (1E)-2-PHENYL-N-(SULFOOXY)ETHANIMIDOTHIOATE",
Choline alfoscerate,"(2R)-2,3-dihydroxypropyl 2-(trimethylammonio)ethyl phosphate | alpha-Glycerophosphorylcholine | Choline alphoscerate | Choline glycerophosphate | Cholini glycerophosphas | Glicerofosfato de colina | Glycerol phosphorylcholine | Glycerol-3-phosphatidylcholine | glycerol-3-phosphocholine | Glycerophosphate de choline | Glycerophosphocholine | Glycerophosphorylcholine | GPCho | L-alpha-Glycerophosphocholine | L-alpha-Glycerophosphorylcholine | sn-3-GPC | sn-Glycero-3-phosphocholine"
cis-tetracosenoyl sulfatide,1-(3-O-sulfo-beta-D-galactosyl)-N-[(15Z)-tetracos-15-enoyl]sphingosine | C24:1 Sulfatide
OLOMOUCINE II,
"2-KETO-6-PHOSPHATE-D-GLUCONIC ACID, ALPHA-FURANOSE FORM",
Cyclohexyl-pentyl-maltoside,5-cyclohexyl-1-pentyl-beta-D-maltoside | CYMAL-5 | CYMAL(R)-5
Coumarin,"1,2-benzopyrone | 2H-1-benzopyran-2-one | 2H-benzo(b)pyran-2-one | Coumarinic lactone | Cumarin"
CHROMOPHORE (LYS-TYR-GLY),
CHROMOPHORE (HIS-TYR-GLY),
CHROMOPHORE (GLU-TYR-GLY),
TRIAZOLOPYRIMIDINE,
[(1S)-4-[[Amino-[(2R)-2-amino-2-carboxyethyl]sulfanylmethylidene]amino]-1-carboxybutyl]azanium,
"Cyclic 3',5'-thymidine monophosphate","3',5'-Cyclic dTMP | cTMP | Cyclic TMP | Thymidine cyclophosphate"
4-[(5-CHLOROINDOL-2-YL)SULFONYL]-2-(2-METHYLPROPYL)-1-[[5-(PYRIDIN-4-YL)PYRIMIDIN-2-YL]CARBONYL]PIPERAZINE,
"2-HYDROXY-3,5-DIIODOBENZOIC ACID",
Dansyllysine,DNS-lysine | N(epsilon)-Dansyl-L-lysine
N-METHYL-N-[(1R)-1-METHYL-2-PHENYLETHYL]PROP-2-EN-1-AMINE,
H TYPE II TRISACCHARIDE,
Human blood group H type 1 trisaccharide,alpha-L-Fucp-(1->2)-beta-D-Galp-(1->3)-beta-D-GlcpNAc | globo-H | H type I | H type I epitope | H type I trisaccharide | a-L-Fuc-(1-2)-b-D-Gal-(1-3)-b-D-GlcNAc | aLFuc(1-2)bDGal(1-3)bDGlcNAc
GALACTOSE GREASE,
BETA-METHYLLACTOSIDE,
Octylphenoxy polyethoxyethanol,
"(2R)-3-{[{[(2S)-2,3-DIHYDROXYPROPYL]OXY}(HYDROXY)PHOSPHORYL]OXY}-2-[(9E)-HEXADEC-9-ENOYLOXY]PROPYL (9E)-OCTADEC-9-ENOATE",
BIS(HEXAMETHYLENE)TRIAMINE,
"1-{(2S,5S)-4-FLUORO-5-[(TRITYLOXY)METHYL]TETRAHYDROFURAN-2-YL}PYRIMIDINE-2,4(1H,3H)-DIONE",
CHROMOPHORE (ASP-TYR-GLY),
DIMETHYL THIOPHOSPHATE,
Methylecgonine,Ecgonine methyl ester
2-{5-[3-(6-BENZOYL-1-PROPYLNAPHTHALEN-2-YLOXY)PROPOXY]INDOL-1-YL}ETHANOIC ACID,
Camptothecin,"(+)-camptothecin | (+)-camptothecine | (S)-(+)-camptothecin | 20(S)-camptothecine | 21,22-Secocamptothecin-21-oic acid lactone | Camptothecine | D-camptothecin"
2'-O-[1-ethyl-1H-imidazol)] thymidine-5'-monophosphate,
Ethyl (2E)-4-({(2S)-2-[(N-{[(2-methyl-2-propanyl)oxy]carbonyl}-L-valyl)amino]-2-phenylacetyl}amino)-5-[(3S)-2-oxo-3-pyrrolidinyl]-2-pentenoate,
"(13S)-13-METHYLDODECAHYDRO-1H-CYCLOPENTA[A]PHENANTHRENE-3,17(2H,4H)-DIONE",
"2,6-anhydro-3-deoxy-3-fluoronononic acid",3-deoxy-3-fluoro-D-erythro-a-L-manno-non-2-ulopyranosonic acid
Farnesyl thiopyrophosphate,Farnesyl thiodiphosphate
"4-CHLORO-3',3''-DIBROMOPHENOL-1,8-NAPHTHALEIN",
TRANS-4-(GUANIDINOMETHYL)-CYCLOHEXANE-L-YL-D-3-CYCLOHEXYLALANYL-L-AZETIDINE-2-YL-D-TYROSINYL-L-HOMOARGININAMIDE,
"N-(1,4-dihydro-5H-tetrazol-5-ylidene)-9-oxo-9H-xanthene-2-sulfonamide",9-Oxo-N-(2H-tetrazol-5-yl)-9H-xanthene-2-sulfonamide
gamma-butyrolactone,"1,4-Lactone | 4-Butyrolactone | 4-Hydroxybutyric acid lactone | butyrolactone | dihydrofuran-2(3h)-one | g-butyrolactone"
GLUTATHIONE SULFINATE,
S-METHYL-GLUTATHIONE,
"S-[(2E)-3,7-DIMETHYLOCTA-2,6-DIENYL] TRIHYDROGENTHIODIPHOSPHATE",
Hesperidin,(S)-(-)-hesperidin | Cirantin | Ciratin | Hesperetin 7-O-rutinoside | Hesperidin | Hesperidina | Hesperidoside
20-hydroxycholesterol,
"(3BETA)-CHOLEST-5-ENE-3,25-DIOL",
"(3BETA,7BETA)-CHOLEST-5-ENE-3,7-DIOL",
Hydroxyfasudil,Hydroxy-fasudil
"(S)-TETRAHYDROFURAN-3-YL (2S,3S)-4-((S)-4-((1R,3R)-3-(2-AMINO-2-OXOETHYL)-2,3-DIHYDRO-1H-INDEN-1-YL)-2-BENZYL-3-OXO-2,3-DIHYDRO-1H-PYRROL-2-YL)-3-HYDROXY-1-PHENYLBUTAN-2-YLCARBAMATE",
"(3AALPHA,4ALPHA,7ALPHA,7AALPHA)- 3A,4,7,7A-TETRAHYDRO-2-(4-NITRO-1-NAPHTHALENYL)-4,7-ETHANO-1H-ISOINDOLE-1,3(2H)-DIONE",
(E)-(S)-4-[(S)-4-METHYL-2-((S)-3-METHYL-2{(S)-2-[(5-METHYL-ISOXAZOLE-3- CARBONYL)-AMINO]-PROPIONYLAMINO}-BUTYRYLAMINO)-PENTANOYLAMINO]-5-((S)-2- OXO-PYRROLIDIN-3-YL)-PENT-2-ENOIC ACID ETHYL ESTER,
Iodipamide,"3,3'-(adipoyldiimino)bis(2,4,6-triiodobenzoic acid) | Adipiodona | Adipiodone | Adipiodonum|Cholografin meglumine 52%"
ANILINOMETHYL GLUCO-PHENYLIMIDAZOLE,
4-Iodo-D-phenylalanine,D-p-Iodophenylalanine
ISOPENTENYL PYROPHOSPHATE,
IMIDAZOPYRIDAZIN 1,
"2-(1,1-DIMETHYLETHYL)9-FLUORO-3,6-DIHYDRO-7H-BENZ[H]-IMIDAZ[4,5-F]ISOQUINOLIN-7-ONE",
2''-O-[N-(3-(aminopropyl)2-aminoethyl]paromomycin,
"(1R,2R,3S,4R,6S)-4,6-diamino-2-{[3-O-(2,6-diamino-2,6-dideoxy-beta-L-idopyranosyl)-2-O-{2-[(piperidin-3-ylmethyl)amino]ethyl}-beta-D-ribofuranosyl]oxy}-3-hydroxycyclohexyl 2-amino-2-deoxy-alpha-D-glucopyranoside","(1R,2R,3S,4R,6S)-4,6-diamino-2-{[3-O-(2,6-diamino-2,6-dideoxy-b-L-idopyranosyl)-2-O-{2-[(piperidin-3-ylmethyl)amino]ethyl}-b-D-ribofuranosyl]oxy}-3-hydroxycyclohexyl 2-amino-2-deoxy-a-D-glucopyranoside"
"DIMETHYL-(4,5,6,7-TETRABROMO-1H-BENZOIMIDAZOL-2-YL)-AMINE",
"S-METHYL-4,5,6,7-TETRABROMO-BENZIMIDAZOLE",
"N1,N2-ETHYLENE-2-METHYLAMINO-4,5,6,7-TETRABROMO-BENZIMIDAZOLE",
"2-[3-chloro-6-[2,2-difluoro-2-(1-oxidopyridin-1-ium-2-yl)ethyl]imino-1-hydroxypyridin-2-yl]-N-[(1R)-1-(3-chlorophenyl)ethyl]acetamide",
2-(3-GUANIDINOPHENYL)-3-MERCAPTOPROPANOIC ACID,
"(S)-2-((S)-3-isobutyl-2,5-dioxo-4-quinolin-3-ylmethyl-[1,4]diazepan-1yl)-N-methyl-3-naphtalen-2-yl-propionamide",
Licofelone,Licofelone
"7,8,10-TRIMETHYLBENZO[G]PTERIDINE-2,4(3H,10H)-DIONE",
"1-{4-[4-Amino-6-(4-methoxyphenyl)furo[2,3-d]pyrimidin-5-yl]phenyl}-3-[2-fluoro-5-(trifluoromethyl)phenyl]urea",
Lividomycin A,lividomicina
Gentamicin C1a,Gentamycin C12
1-ACETYL-2-LYSO-SN-GLYCERO-3-PHOSPHOETHANOLAMINE,
N-(4-MORPHOLINE)CARBONYL-B-(1-NAPHTHYL)-L-ALANINE-L-LEUCINE BORONIC ACID,
"1,6-DI-O-PHOSPHONO-D-MANNITOL",
Citraconic acid,(Z)-2-Methyl-2-butenedioic acid | 2-Methyl-2-butenedioic acid | 2-methylmaleic acid | cis-2-methylbutenedioic acid | cis-Methylbutenedioic acid | citraconate | Citraconsaure | Methyl-maleinsaure | Methylmaleic acid | a-methylmaleic acid
MONOGALACTOSYL-DIACYLGLYCEROL,
"2-ACETAMIDO-2-DEOXY-BETA-D-GLUCOPYRANOSE(BETA1-4)-2-ACETAMIDO-1,6-ANHYDRO-3-O-[(R)-1-CARBOXYETHYL]-2-DEOXY-BETA-D-GLUCOPYRANOSE-L-ALANYL-GAMMA-D-GLUTAMYL-MESO-DIAMINOPIMELYL-D-ALANINE",
(S)-HYDROXY(PHENYL)ACETONITRILE,
Motuporin,(-)-Motuporin | Nodularin V
4-[(4-METHYL-1-PIPERAZINYL)METHYL]-N-[3-[[4-(3-PYRIDINYL)-2-PYRIMIDINYL]AMINO]PHENYL]-BENZAMIDE,
MOXALACTAM (HYDROLYZED),
Myxothiazol,(+)-myxothiazol | Myxothiazol A
"(2R)-2-{(1R)-2-oxo-1-[(2-thienylacetyl)amino]ethyl}-5,6-dihydro-2h-1,3-thiazine-4-carboxylic acid",
Nimesulide,Nimesulida | Nimesulide | Nimesulidum
Lawsone,"2-hydroxy-1,4-naphthalenedione | 2-hydroxy-1,4-naphthoquinone | 2-hydroxynaphthoquinone | Lawsone"
2-OXOQUINOLINE,
"(10E,12Z)-octadecadienoic acid","(10E,12Z)-octadeca-10,12-dienoic acid | (E,Z)-octadeca-10,12-dienoic acid | 10-trans-12-cis-CLA | 10-trans-12-cis-conjugated linoleic acid | 10-trans-12-cis-linoleic acid | 10-trans-12-cis-octadecadienoic acid | 10,12-trans,cis-octadecanoic acid | C18:2, n-6,8 cis,trans"
11-TRANS-13-TRANS-15-CIS-OCTADECATRIENOIC ACID,
OXIMINOARYLSULFONAMIDE,
2-(3-OXO-PROPYLSULFANYLCARBONYL)-ETHANETHIOLATE,
OREGON GREEN 488 CARBOXYLATE,
Purvalanol A,2-(1R-Isopropyl-2-hydroxyethylamino)-6-(3-chloroanilino)-9-isopropylpurine | Purv
Phosphatidyl ethanol,PEth
"9-DEAZAINOSINE-2',3'-O-ETHYLIDENEPHOSPHONATE",
"GUANOSINE-2',3'-O-ETHYLIDENEPHOSPHONATE",
PROPYL-1-PHOSPHATE,
"2-[(3,5-Dichloro-4-trioxidanylphenyl)amino]benzoic acid",
"GUANOSINE-2',3'-O-METHYLIDENEPHOSPHONATE",
2-[2-ETHANESULFONYLAMINO-3-(1H-INDOL-3-YL)-PROPIONYLAMINO]-PENTANEDIOIC ACID 5-AMIDE 1-(4-CARBAMIM IDOYL-BENZYLAMIDE),
"PYRIMIDINE-4,6-DICARBOXYLIC ACID BIS-(3-METHYL-BENZYLAMIDE)",
"PYRIMIDINE-4,6-DICARBOXYLIC ACID BIS-(4-FLUORO-3-METHYL-BENZYLAMIDE)",
"PYRIMIDINE-4,6-DICARBOXYLIC ACID BIS-[(PYRIDIN-3-YLMETHYL)-AMIDE]",
N-PYRIDOXYL-D-GLUTAMIC ACID-5'-MONOPHOSPHATE,
"1-N-(4-SULFAMOYLPHENYL-ETHYL)-2,4,6-TRIMETHYLPYRIDINIUM",
[4-(3-AMINOMETHYL-PHENYL)-PIPERIDIN-1-YL]-(5-PHENETHYL- PYRIDIN-3-YL)-METHANONE,
N-PYRIDOXYL-2-METHYL-L-GLUTAMIC ACID-5'-MONOPHOSPHATE,
N-[1-(4-CARBAMIMIDOYL-BENZYLCARBAMOYL)-3-METHYLSULFANYL-PROPYL]-3-HYDROXY-2-PROPOXYAMINO-BUTYRAMID,
Pyrithiamine Pyrophosphate,
"5-QUINOXALIN-6-YLMETHYLENE-THIAZOLIDINE-2,4-DIONE",
"O6-(R)-ROSCOVITINE, R-2-(6-BENZYLOXY-9-ISOPROPYL-9H-PURIN-2-YLAMINO)-BUTAN-1-OL",
1-GUANIDINO-4-(N-NITRO-BENZOYLAMINO-L-LEUCYL-L-PROLYLAMINO)BUTANE,
1-GUANIDINO-4-(N-PHENYLMETHANESULFONYL-L-LEUCYL-L-PROLYLAMINO)BUTANE,
METHYL (3R)-3-{[(3R)-3-{[(3R)-3-HYDROXYBUTANOYL]OXY}BUTANOYL]OXY}BUTANOATE,
Reidispongiolide A,
Reidispongiolide C,
(2R)-2-({6-[benzyl(methyl)amino]-9-isopropyl-9H-purin-2-yl}amino)butan-1-ol,(2R)-2-({6-[Benzyl(methyl)amino]-9-isopropyl-9H-purin-2-yl}amino)-1-butanol | Aftin-4
(R)-4-Nitrostyrene oxide,(2R)-2-(4-nitrophenyl)oxirane
SC45647,
ETHYL (1E)-2-PHENYL-N-(SULFOOXY)ETHANIMIDOTHIOATE,
Sulfatide,2-hydroxytetracosanoyl sulfatide | 2-hydroxytetracosanoylgalactosylceramide sulfate
5-hydroxyvaleric acid,4-oxy-butan-carbonsaure | 5-hydroxy-pentansaure | 5-hydroxypentanoic acid | delta-hydroxypentanoic acid | delta-hydroxyvaleric acid
(S)-4-Nitrostyrene oxide,(2S)-2-(4-nitrophenyl)oxirane
Sphinxolide B,
(R)-1-phenylethanol,(1R)-1-phenylethanol | (R)-alpha-methylbenzenemethanol | (R)-alpha-methylbenzyl alcohol | (R)-a-methylbenzenemethanol | (R)-a-methylbenzyl alcohol
Streptolydigin,Afragilimycin A | Portamycin
Suramin,Suramin | Suramine
Tanaproget,
Tagetitoxin,"(1R,4R,5R,6R,7S,8R)-6-Acetoxy-7-amino-4-carbamoyl-4-hydroxy-8-(phosphonooxy)-9-oxa-3-thiabicyclo[3.3.1]nonane-1-carboxylic acid"
5-methyltetrahydrofolic acid,"5-Methyl-5,6,7,8-tetrahydrofolic acid | 5-Methyl-5,6,7,8-tetrahydropteroyl-L-glutamic acid | 5-Methyltetrahydropteroyl monoglutamate | 5-Methyltetrahydropteroylglutamic acid | N-Methyltetrahydrofolate | N-Methyltetrahydrofolic acid | N5-Methyltetrahydrofolate | N5-Methyltetrahydrofolic acid | N5-Methyltetrahydropteroylglutamate"
"2,5-bis-O-{3-[amino(imino)methyl]phenyl}-1,4:3,6-dianhydro-D-glucitol","1,4:3,6-Dianhydro-2,5-bis-O-(3-carbamimidoylphenyl)-D-glucitol"
"2-O-(4'-AMIDINOPHENYL)-5-O-(3''-AMIDINOPHENYL)-1,4:3,6-DIANHYDRO-D-SORBITOL",
"2,5-O,O-BIS-{4',4''-AMIDINOPHENYL}-1,4:3,6-DIANHYDRO-D-SORBITOL",
"1,4:3,6-Dianhydro-2-O-(3-carbamimidoylphenyl)-5-O-(4-carbamimidoylphenyl)-D-glucitol",
Bifonazole,"(+-)-1-(p,alpha-Diphenylbenzyl)imidazole | 1-((4-Biphenylyl)phenylmethyl)-1H-imidazole | 1-(alpha-(4-Biphenylyl)benzyl)imidazole | 1-(p,alpha-Diphenylbenzyl)imidazole | 1-[biphenyl-4-yl(phenyl)methyl]imidazole | Bifonazol | Bifonazole | Bifonazolum"
Thenoyltrifluoroacetone,"1-Thenoyl-3,3,3-trifluoroacetone | 1,1,1-Trifluoro-3-(2-thenoyl)acetone | 2-Thenoyltrifluoroacetone | alpha-Thenoyltrifluoroacetone | Perfluoroacetyl(2-thenoyl)methane"
Inecalcitol,"(7E)-19-Nor-9,10-seco-14beta-cholesta-5,7-dien-23-yne-1alpha,3beta,25-triol | Inecalcitol"
Triazolopyridine,
THIO-ATPA,
"6-Hydroxy-5-undecyl-4,7-benzothiazoledione","5-n-undecyl-6-hydroxy-4,7-dioxobenzothiazole | 6-hydroxy-5-undecyl-1,3-benzothiazole-4,7-dione | 6-Hydroxy-5-undecyl-4,7-benzothiazoledione | UHDBT"
1-METHYL-3-PHENYL-1H-PYRAZOL-5-YLSULFAMIC ACID,
cis-Vaccenic acid,(Z)-11-octadecenoic acid | (Z)-octadec-11-enoic acid | Asclepic acid | cis-11-octadecenoic acid | cis-octadec-11-enoic acid | trans-11-Octadecensaure
"D-ERITHRO-2,3-DIAMINO-BUTYRIC ACID",
Verdoheme,
"L-threo-2,3-diamino-butyric acid",
Virginiamycin S1,Staphylomycin S | Staphylomycin S1 | Virginiamycin factor S | Virginiamycin factor S1
(5-BROMO-4-CHLORO-3-INDOLYL)-A-D-MANNOSE,
4-NITROPHENYL-(6-S-ALPHA-D-XYLOPYRANOSYL)-BETA-D-GLUCOPYRANOSIDE,
Neamine,"2-desoxy-4-O-(2,6-diamino-2,6-didesoxy-a-D-glucopyranosyl)-D-streptamin | 4-O-(2,6-diamino-2,6-dideoxy-a-D-glucopyranosyl)-2-deoxy-D-streptamine | Dekamycin V | Nebramycin X | Negamicin | Neomycin A"
SALOPHEN-10-PROPIONATE IRON CHELATE,
Salophen-10-carboxylate iron chelate,
Salophen iron chelate,
Benoxaprofen,(+-)-benoxaprofen | (1)-2-(4-Chlorophenyl)benzoxazole-5-propionic acid | 2-(4-Chlorophenyl)-alpha-methyl-5-benzoxazoleacetic acid | 2-(4-chlorophenyl)-a-methyl-5-benzoxazoleacetic acid | 2-(p-chlorophenyl)-a-methyl-5-benzoxazoleacetic acid | Benoxaprofen | Benoxaprofene | Benoxaprofeno | Benoxaprofenum | DL-benoxaprofen
Bithionol,"2-Hydroxy-3,5-dichlorophenyl sulfide | 2-Hydroxy-3,5-dichlorophenyl sulphide | 2,2'-Dihydroxy-3,3',5,5'-tetrachlorodiphenyl sulfide | 2,2'-Dihydroxy-3,3',5,5'-tetrachlorodiphenylsulfide | 2,2'-sulfanediylbis(4,6-dichlorophenol) | 2,2'-Thiobis(4,6-dichlorophenol) | Bis(3,5-dichloro-2-hydroxyphenyl) sulfide | Bithionol | Bithionol sulfide | Bithionolate | Bithionolum | Bitionol"
Bunamiodyl,"2-(3-Butyramido-3,4,6-triiodophenylmethylene)butyric acid | Bunamiodilo | Bunamiodylum"
Clioquinol,5-Chlor-7-jod-8-hydroxy-chinolin | 5-Chloro-7-iodo-8-hydroxyquinoline | 5-Chloro-7-iodo-8-quinolinol | 5-chloro-7-iodoquinolin-8-ol | 5-Chloro-8-hydroxy-7-iodoquinoline | 7-Iodo-5-chloro-8-hydroxyquinoline | 7-Iodo-5-chloroxine | Chloroiodoquin | Clioquinol | Clioquinolum | Iodochlorhydroxyquin | Iodochlorhydroxyquinoline | Iodochlorohydroxyquin | Iodochloroxyquinoline
